JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
1,12,24000000,24000000,#N/A,1,
1,12,12000000,12000000,2,1,
1,12,12000000,12000000,5,1,
1,12,36000000,36000000,1,1,
1,12,10000000,4242062,1,1,
1,12,10000000,6666660,1,1,
0,9,21000000,14000000,5,1,
1,10,14000000,7000000,2,1,
1,11,21000000,21000000,1,1,
0,11,42000000,42000000,1,1,
0,60,100000000,88333310,1,1,
0,12,10000000,6450000,1,1,
0,12,20000000,20000000,2,1,
0,12,40000000,40000000,1,1,
0,60,45000000,19500000,1,1,
0,12,10000000,10000000,#N/A,1,
0,60,50000000,46666660,1,1,
0,12,18000000,18000000,2,1,
0,12,10000000,8164447,1,1,
0,60,100000000,83333320,2,1,
1,12,15000000,15000000,2,1,
1,11,21000000,21000000,1,1,
1,60,50000000,43333320,1,1,
0,48,26000000,23291650,1,1,
1,60,60000000,27610000,1,1,
0,36,20000000,19444440,1,1,
0,11,14000000,7000000,5,1,
1,36,20000000,322065,1,1,
0,60,21000000,6300000,1,1,
0,60,200000000,159999980,1,1,
0,60,300000000,245000000,2,1,
0,60,200000000,193266670,2,1,
0,12,10000000,9983207,1,1,
1,60,18000000,6000000,1,1,
1,60,30000000,18500000,1,1,
1,60,90000000,66000000,1,1,
1,36,7500000,6458325,1,1,
1,12,20000000,20000000,2,1,
1,12,10000000,4349890,1,1,
0,60,25000000,23749990,1,1,
1,8,9500000,9500000,2,1,
1,24,10000000,5416630,1,1,
1,60,40000000,33333300,1,1,
0,60,20000000,11666625,1,1,
1,36,7500000,5833320,1,1,
0,10,10000000,10000000,2,1,
1,60,32000000,17066620,1,1,
0,60,20000000,11433290,1,1,
1,60,35000000,25083305,1,1,
1,48,18000000,17625000,1,1,
1,11,20000000,20000000,5,1,
0,24,10000000,6666640,1,1,
0,8,3000000,3000000,2,1,
0,48,19000000,16624990,1,1,
0,10,7000000,7000000,2,1,
0,12,10000000,4444088,1,1,
1,6,50000000,50000000,2,1,
1,9,11500000,11500000,#N/A,1,
1,11,16500000,16500000,1,1,
0,120,100000000,71559230,1,1,
0,12,19600000,19600000,2,1,
0,12,9000000,9000000,5,1,
0,12,30000000,30000000,1,1,
0,12,10000000,10000000,1,1,
0,60,200000000,123333295,2,1,
0,12,50000000,50000000,1,1,
0,12,10000000,4237939,1,1,
1,36,10000000,7499980,1,1,
1,11,15000000,15000000,1,1,
1,12,10000000,10000000,2,1,
0,11,26000000,26000000,1,1,
0,48,25000000,8854115,1,1,
1,24,20000000,17505000,1,1,
1,5,6500000,6500000,#N/A,1,
0,60,40000000,15999880,1,1,
1,24,40000000,34999990,1,1,
1,120,75000000,48750000,1,1,
1,12,15000000,15000000,1,1,
1,24,5000000,3541655,1,1,
1,60,15000000,14250000,1,1,
0,36,15000000,14550000,1,1,
1,36,25000000,19444440,1,1,
1,36,25000000,15277770,1,1,
0,12,3000000,2250000,1,1,
0,9,27000000,27000000,5,1,
0,11,27000000,27000000,1,1,
1,60,40000000,4466520,1,1,
1,36,20000000,16111115,1,1,
1,60,250000000,208333300,1,1,
1,11,5600000,2800000,5,1,
1,12,10000000,10000000,1,1,
1,12,10000000,4165657,1,1,
1,60,35000000,9916595,1,1,
1,12,15000000,15000000,5,1,
1,60,15000000,13250000,1,1,
1,11,5000000,5000000,2,1,
1,12,5000000,5000000,5,1,
1,11,15000000,15000000,1,1,
1,12,10000000,4175025,1,1,
1,48,50000000,45833320,1,1,
1,60,70000000,54833290,1,1,
1,60,20000000,16666650,1,1,
1,60,20000000,8333275,1,1,
1,48,50000000,21874910,1,1,
1,12,10000000,4057908,1,1,
1,60,60000000,28000000,1,1,
1,9,20000000,20000000,#N/A,1,
1,11,10000000,10000000,5,1,
1,12,30000000,30000000,1,1,
1,36,20000000,5526710,1,1,
0,24,5000000,833300,1,1,
0,60,10000000,9333320,1,1,
0,7,4000000,4000000,2,1,
0,48,30000000,25000000,1,1,
0,12,2500000,2500000,5,1,
0,60,8000000,7466660,1,1,
0,48,100000000,100000000,1,1,
0,11,8800000,8800000,2,1,
0,60,40000000,40000000,1,1,
